"X4EVERDROP","X1SEX","X1RACE","X1STAGE","X1CONTROL","X1SES","X1SES_U","X1SCHOOLENG","X1SCHOOLBEL","X1SCHOOLCLI","X1TXMTSCOR","X1LOCALE","X1REGION","S1M8GRADE","X1MTHID","X1MTHUTI","X1MTHEFF","X1MTHINT","X1SCIID","X1SCIUTI","X1SCIEFF","X1SCIINT","X2SCHOOLCLI","X2PROBLEM","X1PAREDEXPCT","X1STUEDEXPCT","X1PROBLEM","S1MSCORE","na_prop","STU_ID"
0,1,"White, non-Hispanic",14,"Public",1.5644,1.6907,-1.41,0.84,0.6,59.371,"Rural","Midwest","A",1.76,1.31,0.95,0.12,0.91,-0.33,1.1,-0.23,0.97,-2.14,6,8,-1.77884286958181,5.6,0.0357142857142857,"10001"
0,0,"White, non-Hispanic",14,"Public",-0.3699,-0.3923,-0.2,0.05,0.32,47.6821,"Rural","Northeast","B",-0.57,1.31,0.55,1.69,0.91,1.69,0.69,2.03,1.62,-0.33,6,8,0.769088415588478,3,0.107142857142857,"10002"
0,0,"Black/African-American, non-Hispanic",14,"Public",1.2741,1.1271,1.39,0.37,-0.61,64.2431,"Suburb","West","C",-0.57,0.27,0.68,0.86,-0.33,0.1,-0.05,0.93,0.65,-1.01,10,10,-0.512408738098765,2.8,0,"10003"
0,0,"White, non-Hispanic",14,"Public",0.5498,0.4283,-0.2,-0.04,-2.14,49.269,"Suburb","South","A",0.6,-0.7,0.1,0.19,-0.33,0.1,0.25,-0.67,-1.21,0.84,10,10,0.240296541306325,5.6,0,"10004"
0,1,"White, non-Hispanic",15,"Public",1.5144,1.8383,-0.2,0.45,-0.32,54.6249,"Town","Northeast","A",0,-0.7,-1.41,-1.13,-0.33,0.28,0.25,-0.21,0.43,-0.6,6,8,-0.512408738098765,5.6,0.0714285714285714,"10008"
0,1,"White, non-Hispanic",14,"Public",-0.3103,-0.1961,0.1,0.11,-0.16,53.1875,"Town","South","A",0.6,0.74,1.62,0.29,0.27,-1.5,0.25,-1.05,-0.51,0.59,4,6,0.31435091045202,4,0.178571428571429,"10009"
0,0,"White, non-Hispanic",14,"Catholic or other private",2.4996,2.3344,-0.17,1,1.37,67.6823,"Suburb","Midwest","A",0.63,-0.13,0.51,-0.36,0.91,-0.33,1.83,0.49,2.32,-2.14,10,10,-1.342211593476,6.4,0.0714285714285714,"10012"
0,1,"White, non-Hispanic",14,"Public",2.5668,2.4002,1.01,0.85,-1.77,66.6624,"Suburb","South","B",1.76,0.27,1.62,-1.38,0.27,-0.89,1.1,0.16,-0.44,-1.3,10,8,-0.756600533275629,4.8,0,"10013"
0,0,"White, non-Hispanic",15,"Public",0.9973,1.0156,-1.09,0.77,1.22,53.4016,"City","South","Class was not graded",0.03,-0.3,-1.02,0.19,-0.33,0.1,0.38,0.54,1.71,-1.49,10,6,-1.34897379218715,0,0.214285714285714,"10015"
0,1,"White, non-Hispanic",15,"Catholic or other private",1.3989,1.6782,-0.17,1.59,0.68,63.9808,"Town","Midwest","B",0.6,0.9,0.1,0.47,0.91,0.1,0.67,0.99,1.98,-1.7,7,6,-1.50930581268072,4.2,0,"10018"
