X4EVERDROP,X1SEX,X1RACE,X1STAGE,X1CONTROL,X1SES_U,X1SCHOOLENG,X1SCHOOLBEL,X1SCHOOLCLI,X1TXMTSCOR,X1REGION,X1MTHID,X1MTHUTI,X1MTHEFF,X1MTHINT,X1SCIID,X1SCIUTI,X1SCIEFF,X1SCIINT,X1PAREDEXPCT,X1STUEDEXPCT,X1PROBLEM,S1MSCORE,y_pred_prob
1,1,"White, non-Hispanic",14,Public,0.2147,0.33,-2.27,-0.65,62.5897,South,0.56,-1.1,0.1,-0.96,-0.33,-1.88,0.25,-1.5,10,6,-0.40537586271453,4.2,0.3883606791496277
0,0,"White, non-Hispanic",14,Public,0.0523,0.71,1.34,0.32,63.3795,Midwest,0.6,0.27,0.1,1.34,-1.57,0.71,0.25,1.38,6,4,-0.189572536088338,5.6,0.2849961221218109
0,0,"Asian, non-Hispanic",14,Public,1.3806,1.09,0.21,-1.11,66.894,South,0.03,-0.07,0.16,0.17,-0.33,1.27,-0.89,1.19,10,7,0.265641803030553,5.6,0.22909338772296906
1,0,"Hispanic, race specified",15,Public,-0.0685,-1.0,-0.98,0.17,44.3582,Midwest,-1.73,0.27,-1.68,-0.74,0.27,0.23,-2.05,-1.12,4,4,-0.689776990743988,2.0,0.7295822501182556
0,0,"White, non-Hispanic",14,Catholic or other private,0.1982,0.71,0.16,0.35,56.6409,Midwest,0.6,1.31,0.27,0.19,-0.33,1.69,1.83,1.27,6,8,-1.50930581268072,3.6,0.3009224832057953
0,0,"White, non-Hispanic",14,Public,0.5493,1.39,-0.04,-0.55,62.7847,South,0.6,-0.3,0.1,0.49,0.91,-0.89,0.25,-1.0,8,8,0.140025864633243,4.8,0.2760072946548462
0,1,"White, non-Hispanic",15,Public,-0.077,-2.29,0.9,-0.44,30.1157,West,0.0,-0.87,0.1,-0.59,2.15,1.13,1.83,1.38,4,10,0.402800722823181,3.6,0.7887950539588928
0,0,"Hispanic, race specified",14,Catholic or other private,0.4437,1.09,0.68,1.33,62.5559,West,1.76,1.31,1.62,2.08,-0.33,0.28,1.83,0.54,8,8,-2.10167907159224,5.6,0.23625439405441284
0,0,"White, non-Hispanic",14,Public,-0.7216,1.01,-0.39,-0.31,56.8163,Midwest,0.03,-0.3,0.1,-0.29,0.31,-0.47,0.25,-0.28,8,6,1.52179369499357,4.0,0.35707563161849976
0,0,"Asian, non-Hispanic",15,Catholic or other private,0.432,-0.32,0.85,1.25,54.9576,Northeast,-1.73,1.31,-0.29,-0.16,-0.33,-0.47,-0.91,-1.44,6,8,-1.34897379218715,3.6,0.3291914463043213
0,1,"More than one race, non-Hispanic",14,Public,-0.8135,1.39,-0.39,-1.76,48.5401,Midwest,0.6,-0.3,0.1,0.19,0.27,-0.89,0.25,0.16,3,10,0.265641803030553,4.8,0.38929060101509094
0,0,"White, non-Hispanic",14,Public,-0.2051,1.01,0.52,-1.94,50.3536,Midwest,1.76,0.27,0.94,1.32,-0.33,0.1,0.25,0.16,6,8,0.0028669448406138,5.6,0.3284077048301697
1,0,"More than one race, non-Hispanic",14,Public,-0.2112,-0.07,0.19,0.56,49.3308,Midwest,0.0,-0.93,-0.75,0.19,-0.94,-1.5,-1.33,-1.38,2,10,-1.08619893399721,3.6,0.4105352461338043
0,0,"White, non-Hispanic",16,Public,-0.163,-0.05,1.1,0.56,49.573,South,0.0,-1.33,-0.17,-0.18,-1.57,-0.47,-0.48,0.16,6,8,-0.756600533275629,3.6,0.5848270058631897
0,0,"White, non-Hispanic",14,Public,-0.6179,-0.58,0.1,-1.74,53.9985,Midwest,0.6,0.9,0.55,0.87,0.27,0.1,0.69,0.16,4,6,-0.433764331265202,2.4,0.6047092080116272
0,1,"White, non-Hispanic",14,Public,0.0724,1.39,0.98,-2.12,67.0552,West,0.6,-0.7,0.1,0.19,-0.33,0.1,-0.05,0.16,6,8,0.240296541306325,5.6,0.2743458151817322
0,0,"More than one race, non-Hispanic",14,Public,0.1381,1.01,0.77,0.48,67.7484,South,1.16,0.74,0.94,0.86,0.31,1.69,0.38,0.93,8,10,1.6288265703778,4.2,0.3189649283885956
0,0,"Black/African-American, non-Hispanic",14,Public,-0.2731,1.01,-0.04,0.69,47.1642,Midwest,0.63,0.9,0.1,-0.18,-0.33,0.1,0.25,0.16,6,9,-0.452347394278276,4.2,0.3770446181297302
1,1,"White, non-Hispanic",17,Public,-0.5735,-1.06,-1.2,-2.22,30.5673,Midwest,0.6,-1.9,-1.14,-0.96,-0.33,-0.89,-0.48,0.11,2,8,2.17774833853445,2.4,0.9396060109138489
0,0,"White, non-Hispanic",14,Public,0.2861,-0.2,-0.39,-0.09,60.5147,Midwest,-0.57,-2.94,-0.69,-1.21,-0.33,-0.47,-0.05,0.5,6,6,-0.756600533275629,4.2,0.27803558111190796
1,1,"Black/African-American, non-Hispanic",15,Catholic or other private,0.1141,0.1,1.59,1.67,49.8312,South,-1.73,1.31,0.1,0.49,-0.33,0.66,0.25,1.31,6,8,-1.67180999419758,5.6,0.26784637570381165
1,0,"White, non-Hispanic",15,Public,-0.224,-1.38,-0.88,-1.71,39.2558,South,-1.73,-0.3,-0.17,-0.48,-0.33,-1.5,-0.9,-1.38,6,10,1.84814993781287,3.6,0.7224125266075134
1,1,"White, non-Hispanic",16,Public,-0.1574,0.1,-0.59,-1.42,56.2965,Northeast,1.16,0.9,1.62,-0.18,-0.33,0.28,-1.33,0.86,4,2,0.180235197485836,3.6,0.7462316751480103
0,1,"White, non-Hispanic",14,Public,1.1806,0.67,-0.04,0.25,69.6107,South,1.76,1.31,0.1,0.49,0.91,0.71,0.69,0.99,10,8,-0.0224783168836135,6.4,0.22978398203849792
0,1,"Hispanic, race specified",14,Catholic or other private,-0.8618,0.1,1.59,0.36,64.4815,West,1.76,1.31,0.95,1.35,0.91,1.13,0.25,0.54,10,8,-0.512408738098765,5.6,0.27953964471817017
0,0,"White, non-Hispanic",14,Public,0.1068,1.01,-0.39,-0.27,51.5413,Midwest,-0.57,-1.33,-0.56,0.12,-0.33,-1.5,-0.05,-0.3,6,6,-0.433764331265202,3.6,0.31560972332954407
1,1,"White, non-Hispanic",15,Public,0.1609,1.09,-0.34,-0.06,51.9807,Midwest,-0.57,0.27,0.1,-2.46,-0.33,0.1,0.25,0.16,10,8,0.140025864633243,3.6,0.33620506525039673
0,1,"White, non-Hispanic",15,Public,0.1138,0.21,-0.62,-1.23,49.3304,Midwest,0.0,-0.13,-0.56,-0.66,-0.97,-0.33,-0.48,-0.67,10,5,1.31801018374513,3.6,0.4421764016151428
