X4EVERDROP,X1SEX,X1RACE,X1STAGE,X1CONTROL,X1SES_U,X1SCHOOLENG,X1SCHOOLBEL,X1SCHOOLCLI,X1TXMTSCOR,X1REGION,X1MTHID,X1MTHUTI,X1MTHEFF,X1MTHINT,X1SCIID,X1SCIUTI,X1SCIEFF,X1SCIINT,X1PAREDEXPCT,X1STUEDEXPCT,X1PROBLEM,S1MSCORE,y_pred_prob,y_pred
1,1,"White, non-Hispanic",14,Public,0.2147,0.33,-2.27,-0.65,62.5897,South,0.56,-1.1,0.1,-0.96,-0.33,-1.88,0.25,-1.5,10,6,-0.40537586271453,4.2,0.17583584194907206,0
0,0,"White, non-Hispanic",14,Public,0.0523,0.71,1.34,0.32,63.3795,Midwest,0.6,0.27,0.1,1.34,-1.57,0.71,0.25,1.38,6,4,-0.189572536088338,5.6,0.4651308155133943,0
0,0,"Asian, non-Hispanic",14,Public,1.3806,1.09,0.21,-1.11,66.894,South,0.03,-0.07,0.16,0.17,-0.33,1.27,-0.89,1.19,10,7,0.265641803030553,5.6,0.01449140848986198,0
1,0,"Hispanic, race specified",15,Public,-0.0685,-1.0,-0.98,0.17,44.3582,Midwest,-1.73,0.27,-1.68,-0.74,0.27,0.23,-2.05,-1.12,4,4,-0.689776990743988,2.0,0.7256402044063811,1
0,0,"White, non-Hispanic",14,Catholic or other private,0.1982,0.71,0.16,0.35,56.6409,Midwest,0.6,1.31,0.27,0.19,-0.33,1.69,1.83,1.27,6,8,-1.50930581268072,3.6,0.5538044139403963,1
0,0,"White, non-Hispanic",14,Public,0.5493,1.39,-0.04,-0.55,62.7847,South,0.6,-0.3,0.1,0.49,0.91,-0.89,0.25,-1.0,8,8,0.140025864633243,4.8,0.172308312843492,0
0,1,"White, non-Hispanic",15,Public,-0.077,-2.29,0.9,-0.44,30.1157,West,0.0,-0.87,0.1,-0.59,2.15,1.13,1.83,1.38,4,10,0.402800722823181,3.6,0.6856030989122893,1
0,0,"Hispanic, race specified",14,Catholic or other private,0.4437,1.09,0.68,1.33,62.5559,West,1.76,1.31,1.62,2.08,-0.33,0.28,1.83,0.54,8,8,-2.10167907159224,5.6,0.025359194308599443,0
0,0,"White, non-Hispanic",14,Public,-0.7216,1.01,-0.39,-0.31,56.8163,Midwest,0.03,-0.3,0.1,-0.29,0.31,-0.47,0.25,-0.28,8,6,1.52179369499357,4.0,0.7525053308950667,1
0,0,"Asian, non-Hispanic",15,Catholic or other private,0.432,-0.32,0.85,1.25,54.9576,Northeast,-1.73,1.31,-0.29,-0.16,-0.33,-0.47,-0.91,-1.44,6,8,-1.34897379218715,3.6,0.019160125547736932,0
