X4EVERDROP,X1SEX,X1RACE,X1STAGE,X1CONTROL,X1SES_U,X1SCHOOLENG,X1SCHOOLBEL,X1SCHOOLCLI,X1TXMTSCOR,X1REGION,X1MTHID,X1MTHUTI,X1MTHEFF,X1MTHINT,X1SCIID,X1SCIUTI,X1SCIEFF,X1SCIINT,X1PAREDEXPCT,X1STUEDEXPCT,X1PROBLEM,S1MSCORE,y_pred_prob,y_pred
1,1,"White, non-Hispanic",14,Public,0.2147,0.33,-2.27,-0.65,62.5897,South,0.56,-1.1,0.1,-0.96,-0.33,-1.88,0.25,-1.5,10,6,-0.40537586271453,4.2,0.1651765656914951,0
0,0,"White, non-Hispanic",14,Public,0.0523,0.71,1.34,0.32,63.3795,Midwest,0.6,0.27,0.1,1.34,-1.57,0.71,0.25,1.38,6,4,-0.189572536088338,5.6,0.314203520207202,0
0,0,"Asian, non-Hispanic",14,Public,1.3806,1.09,0.21,-1.11,66.894,South,0.03,-0.07,0.16,0.17,-0.33,1.27,-0.89,1.19,10,7,0.265641803030553,5.6,0.04711670621955713,0
1,0,"Hispanic, race specified",15,Public,-0.0685,-1.0,-0.98,0.17,44.3582,Midwest,-1.73,0.27,-1.68,-0.74,0.27,0.23,-2.05,-1.12,4,4,-0.689776990743988,2.0,0.825543949664062,1
0,0,"White, non-Hispanic",14,Catholic or other private,0.1982,0.71,0.16,0.35,56.6409,Midwest,0.6,1.31,0.27,0.19,-0.33,1.69,1.83,1.27,6,8,-1.50930581268072,3.6,0.35133812871600606,0
0,0,"White, non-Hispanic",14,Public,0.5493,1.39,-0.04,-0.55,62.7847,South,0.6,-0.3,0.1,0.49,0.91,-0.89,0.25,-1.0,8,8,0.140025864633243,4.8,0.10090820277602937,0
0,1,"White, non-Hispanic",15,Public,-0.077,-2.29,0.9,-0.44,30.1157,West,0.0,-0.87,0.1,-0.59,2.15,1.13,1.83,1.38,4,10,0.402800722823181,3.6,0.6605051820508732,1
0,0,"Hispanic, race specified",14,Catholic or other private,0.4437,1.09,0.68,1.33,62.5559,West,1.76,1.31,1.62,2.08,-0.33,0.28,1.83,0.54,8,8,-2.10167907159224,5.6,0.028379300492538624,0
0,0,"White, non-Hispanic",14,Public,-0.7216,1.01,-0.39,-0.31,56.8163,Midwest,0.03,-0.3,0.1,-0.29,0.31,-0.47,0.25,-0.28,8,6,1.52179369499357,4.0,0.6037540670747114,1
0,0,"Asian, non-Hispanic",15,Catholic or other private,0.432,-0.32,0.85,1.25,54.9576,Northeast,-1.73,1.31,-0.29,-0.16,-0.33,-0.47,-0.91,-1.44,6,8,-1.34897379218715,3.6,0.03766359487086481,0
0,1,"More than one race, non-Hispanic",14,Public,-0.8135,1.39,-0.39,-1.76,48.5401,Midwest,0.6,-0.3,0.1,0.19,0.27,-0.89,0.25,0.16,3,10,0.265641803030553,4.8,0.7212107550907844,1
0,0,"White, non-Hispanic",14,Public,-0.2051,1.01,0.52,-1.94,50.3536,Midwest,1.76,0.27,0.94,1.32,-0.33,0.1,0.25,0.16,6,8,0.0028669448406138,5.6,0.5230753573919004,1
1,0,"More than one race, non-Hispanic",14,Public,-0.2112,-0.07,0.19,0.56,49.3308,Midwest,0.0,-0.93,-0.75,0.19,-0.94,-1.5,-1.33,-1.38,2,10,-1.08619893399721,3.6,0.6170868044166024,1
0,0,"White, non-Hispanic",16,Public,-0.163,-0.05,1.1,0.56,49.573,South,0.0,-1.33,-0.17,-0.18,-1.57,-0.47,-0.48,0.16,6,8,-0.756600533275629,3.6,0.24895431769502518,0
0,0,"White, non-Hispanic",14,Public,-0.6179,-0.58,0.1,-1.74,53.9985,Midwest,0.6,0.9,0.55,0.87,0.27,0.1,0.69,0.16,4,6,-0.433764331265202,2.4,0.838634498801786,1
0,1,"White, non-Hispanic",14,Public,0.0724,1.39,0.98,-2.12,67.0552,West,0.6,-0.7,0.1,0.19,-0.33,0.1,-0.05,0.16,6,8,0.240296541306325,5.6,0.08922815245027235,0
0,0,"More than one race, non-Hispanic",14,Public,0.1381,1.01,0.77,0.48,67.7484,South,1.16,0.74,0.94,0.86,0.31,1.69,0.38,0.93,8,10,1.6288265703778,4.2,0.16253973427431803,0
0,0,"Black/African-American, non-Hispanic",14,Public,-0.2731,1.01,-0.04,0.69,47.1642,Midwest,0.63,0.9,0.1,-0.18,-0.33,0.1,0.25,0.16,6,9,-0.452347394278276,4.2,0.5470351936935737,1
1,1,"White, non-Hispanic",17,Public,-0.5735,-1.06,-1.2,-2.22,30.5673,Midwest,0.6,-1.9,-1.14,-0.96,-0.33,-0.89,-0.48,0.11,2,8,2.17774833853445,2.4,0.9695567069270211,1
0,0,"White, non-Hispanic",14,Public,0.2861,-0.2,-0.39,-0.09,60.5147,Midwest,-0.57,-2.94,-0.69,-1.21,-0.33,-0.47,-0.05,0.5,6,6,-0.756600533275629,4.2,0.40955868662250516,0
